ano,capital,Instituição,UF,População,Conta,codigo_conta,nome_conta,valor_empenhado,valor_pago,diferenca_empenhado_pago,taxa_execucao_percentual,valor_pago_per_capita,valor_empenhado_per_capita
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,01 - Legislativa,01,Legislativa,35254837.43,34950776.29,304061.1400000006,99.13753356371667,87.54919376373013,88.31084516285792
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,04 - Administração,04,Administração,139516256.54,137872102.79,1644153.75,98.8215324932198,345.3597522876259,349.4782397867805
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,06 - Segurança Pública,06,Segurança Pública,45880903.25,45262414.48,618488.7700000033,98.65196906296738,113.37910959813432,114.92837971208353
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,08 - Assistência Social,08,Assistência Social,52061224.96,48291893.59,3769331.3699999973,92.75981044837866,120.96773799951406,130.40964337333705
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,09 - Previdência Social,09,Previdência Social,23977589.25,23919276.07,58313.1799999997,99.7568013223014,59.91607505266612,60.06214539606676
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,10 - Saúde,10,Saúde,256171158.28,245662450.04,10508708.24000001,95.89777853582027,615.3668593958613,641.6904216045069
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,12 - Educação,12,Educação,311376865.54,303147173.69,8229691.850000024,97.35699958449777,759.3619789185221,779.9767681413181
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,13 - Cultura,13,Cultura,13232260.89,12128535.92,1103724.9700000007,91.6588330658284,30.381114643060222,33.145866717767206
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,14 - Direitos da Cidadania,14,Direitos da Cidadania,483319.32,483319.32,0.0,100.0,1.2106803135168445,1.2106803135168445
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,15 - Urbanismo,15,Urbanismo,311808328.67,266326045.22,45482283.45000002,85.4133840349929,667.1276867737273,781.0575524093655
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,16 - Habitação,16,Habitação,134055.23,100329.15,33726.080000000016,74.84165295154838,0.25131734187012944,0.3357987590584475
2020.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,399213.0,17 - Saneamento,17,Saneamento,88982352.06,23572051.38,65410300.68000001,26.49070386912854,59.04630204928196,222.89442493105184
