ano,capital,Instituição,UF,População,Conta,codigo_conta,nome_conta,valor_empenhado,valor_pago,diferenca_empenhado_pago,taxa_execucao_percentual,valor_pago_per_capita,valor_empenhado_per_capita
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,26 - Transporte,26,Transporte,1109690175.22,1060584773.3,49105401.92000008,95.57485476428006,443.26264265396344,463.78583964077075
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,27 - Desporto e Lazer,27,Desporto e Lazer,33483033.78,27880481.82,5602551.960000001,83.26749004641717,11.652417007219526,13.993957306415657
2024.0,Belo Horizonte,Prefeitura Municipal de Belo Horizonte - MG,MG,2392678.0,28 - Encargos Especiais,28,Encargos Especiais,1304413075.88,1287246954.02,17166121.860000134,98.68399649026675,537.9942282329674,545.1686670249821
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,01 - Legislativa,01,Legislativa,132409889.76,132460145.7,-50255.939999997616,100.03795482353401,96.87461289690317,96.83785825868696
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,03 - Essencial à Justiça,03,Essencial à Justiça,20147624.71,20112910.23,34714.48000000045,99.8276993913691,14.709559486475893,14.734947891374176
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,04 - Administração,04,Administração,194221186.49,191482153.99,2739032.5,98.58973547144868,140.04030756887846,142.04349661677892
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,06 - Segurança Pública,06,Segurança Pública,129753075.59,129697535.2,55540.390000000596,99.95719531907244,94.85418009911244,94.8947995152618
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,08 - Assistência Social,08,Assistência Social,274900599.91,272104158.24,2796441.6700000167,98.98274442801669,199.0031405887068,201.04831578339196
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,09 - Previdência Social,09,Previdência Social,18797959.77,18797959.77,0.0,100.0,13.747871605808667,13.747871605808667
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,10 - Saúde,10,Saúde,1442636786.93,1441659055.31,977731.620000124,99.93222607181113,1054.356102165086,1055.0711653390242
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,11 - Trabalho,11,Trabalho,7133022.95,7120022.95,13000.0,99.81774907930165,5.2072226212138055,5.216730159960683
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,12 - Educação,12,Educação,904724179.69,860312628.95,44411550.74000001,95.09115023816237,629.1888964746047,661.6692456645624
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,13 - Cultura,13,Cultura,21531198.83,21079226.65,451972.1799999997,97.90084990822594,15.416274163775398,15.746823626380055
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,14 - Direitos da Cidadania,14,Direitos da Cidadania,211600.0,211600.0,0.0,100.0,0.15475347683378482,0.15475347683378482
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,15 - Urbanismo,15,Urbanismo,458137347.64,430372275.36,27765072.27999997,93.93957457888426,314.752391043606,335.05835262144785
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,16 - Habitação,16,Habitação,163228973.51,163200314.55,28658.959999978542,99.98244247979773,119.35640877589708,119.37736848148516
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,17 - Saneamento,17,Saneamento,746756429.43,745006745.96,1749683.4699999094,99.76569556001876,544.8600387615041,546.1396682527192
